LR_main_field,type,threshold,measure,0-5,5-10,10-15,15-20,20-25,25-30,30-35,35-40,40-45,45-50,50-55,55-60,60-65,65-70,70-75,75-80,80-85,85-90,90-95,95-100
All,citances,75,perc_citances2,0.004430078,0.004115854,0.003308937,0.002674741,0.002262711,0.002066516,0.002036832,0.002106624,0.002281102,0.002492138,0.002843668,0.003257017,0.003694593,0.004152078,0.004430336,0.004570425,0.004657254,0.004565358,0.004501617,0.004182944
Biomedical and health sciences,citances,75,perc_citances2,0.005644105,0.005906433,0.004557452,0.003274279,0.002583575,0.002430464,0.002478431,0.002626123,0.002940696,0.003381648,0.00399037,0.004623519,0.005191543,0.005615945,0.00579803,0.005773365,0.005782879,0.005609669,0.005273843,0.004598817
Life and earth sciences,citances,75,perc_citances2,0.005069615,0.00386465,0.003023984,0.002308521,0.001858841,0.001607084,0.001475638,0.001620351,0.001851426,0.002133867,0.002465321,0.00280343,0.003097801,0.003490099,0.003684958,0.003810141,0.00402263,0.003882981,0.003900745,0.003784467
Mathematics and computer science,citances,75,perc_citances2,0.001026001,0.000916528,0.00080356,0.000749865,0.000718168,0.000674572,0.000661661,0.000640029,0.000665372,0.000501282,0.000605643,0.000628967,0.000551476,0.000771496,0.000846596,0.000935231,0.001152568,0.001219747,0.001097781,0.001020373
Physical sciences and engineering,citances,75,perc_citances2,0.001825673,0.001950661,0.001691889,0.001358751,0.001127029,0.000961058,0.001007031,0.001133606,0.001273753,0.001382763,0.001444646,0.001639911,0.00172041,0.001856451,0.001996695,0.002122683,0.002218704,0.002188209,0.002348863,0.002418182
Social sciences and humanities,citances,75,perc_citances2,0.010322676,0.00799931,0.006818344,0.006059315,0.005471801,0.004971084,0.004910926,0.004456153,0.0044896,0.004491895,0.004626013,0.004975779,0.005525638,0.006525443,0.007288802,0.008167415,0.008595639,0.008479135,0.008531457,0.007999409
All,citances,70,n_citances,0.016264138,0.0128685,0.008138706,0.005188547,0.003812497,0.00319426,0.002980231,0.00291988,0.003018599,0.003180365,0.003556367,0.004187256,0.005048349,0.006179883,0.007115224,0.007676843,0.007909952,0.007470072,0.006009821,0.002327981
Biomedical and health sciences,citances,70,n_citances,0.021594886,0.017979503,0.00990586,0.00536815,0.00372247,0.003307941,0.003227108,0.003248525,0.003467535,0.003848211,0.004613016,0.005837259,0.007639769,0.009742122,0.011437545,0.012129808,0.012227914,0.011259988,0.008882665,0.002871304
Life and earth sciences,citances,70,n_citances,0.022824903,0.015285822,0.009561118,0.005717665,0.004022955,0.003239834,0.002935385,0.003026895,0.003259192,0.003635794,0.004068711,0.004857111,0.005902446,0.007384217,0.00864425,0.009404494,0.010067947,0.009650869,0.007857609,0.002641494
Mathematics and computer science,citances,70,n_citances,0.003951402,0.003420051,0.002703147,0.002235052,0.002095888,0.001838646,0.001788041,0.001564536,0.001556102,0.001459109,0.001513931,0.001610924,0.001450675,0.001585621,0.001539234,0.00167418,0.002108539,0.00207902,0.001939856,0.001535017
